director,genres,histogram,imdb_id,length,name,poster_url,themes,tmdb_id,url_name,year
Richard Kelly,"Mystery,Drama,Fantasy","[2534, 6398, 3987, 21446, 21093, 98512, 114849, 267649, 114002, 195400]",tt0246578,114,Donnie Darko,https://a.ltrbxd.com/resized/sm/upload/ye/jq/f3/22/nmb4QhCRmdfNP6rgb81yUFgI83l-0-230-0-345-crop.jpg?v=caa3999c6f,"Humanity and the world around us,Faith and religion,Surreal and thought-provoking visions of life and death,Terrifying,  haunted,  and supernatural horror,Student coming-of-age challenges,Powerful stories of heartbreak and illness,Dreamlike,  quirky,  and surreal storytelling",141,donnie-darko,2001
Sam Mendes,"War,Drama,Action","[971, 2889, 2319, 13409, 16772, 86212, 119903, 325913, 167685, 216351]",tt8579674,119,1917,https://a.ltrbxd.com/resized/film-poster/4/6/0/1/5/5/460155-1917-0-230-0-345-crop.jpg?v=9eb1d95df5,"War and historical adventure,Epic history and literature,Military combat and heroic soldiers,Bravery in World War II,The Nazis and World War II,Air pilot heroism and survival,Historical battles and epic heroism",530915,1917,2019
Gil Junger,"Comedy,Romance,Drama","[1175, 3543, 2941, 17174, 21634, 112175, 122830, 259171, 85787, 292128]",tt0147800,97,10 Things I Hate About You,https://a.ltrbxd.com/resized/sm/upload/hl/jj/br/9g/Kd5OkBc6GyUa1tIpxYUHLpyE2t-0-230-0-345-crop.jpg?v=a2db0a150a,"Underdogs and coming of age,Relationship comedy,Song and dance,Teen school antics and laughter,Hilarious comedy with catchy tunes,Student coming-of-age challenges,Laugh-out-loud relationship entanglements,Teen friendship and coming-of-age",4951,10-things-i-hate-about-you,1999
Sam Raimi,"Action,Fantasy,Adventure","[13782, 32004, 28863, 108611, 117676, 267250, 192548, 168158, 35493, 51504]",tt9419884,126,Doctor Strange in the Multiverse of Madness,https://a.ltrbxd.com/resized/film-poster/3/8/5/5/1/1/385511-doctor-strange-in-the-multiverse-of-madness-0-230-0-345-crop.jpg?v=009a8981af,"Epic heroes,Monsters, aliens, sci-fi and the apocalypse,Fantasy adventure,  heroism,  and swordplay,Superheroes in action-packed battles with villains,Martial arts and intense combat,Thought-provoking sci-fi action and future technology,Dinosaurs and sci-fi monster adventures",453395,doctor-strange-in-the-multiverse-of-madness,2022
Joseph Kosinski,"Drama,Action","[2840, 5445, 3776, 16938, 19826, 82108, 114356, 288326, 167242, 198850]",tt1745960,131,Top Gun: Maverick,https://a.ltrbxd.com/resized/film-poster/2/9/3/4/6/5/293465-top-gun-maverick-0-230-0-345-crop.jpg?v=9f8af0f61b,"War and historical adventure,High speed and special ops,Epic heroes,Air pilot heroism and survival,Bravery in World War II,Explosive and action-packed heroes vs. villains,Fast cars and adrenaline-fueled action,Disastrous voyages and heroic survival",361743,top-gun-maverick,2022
Peter Weir,Drama,"[932, 2585, 1944, 9950, 10891, 58443, 75438, 224553, 121512, 294299]",tt0097165,128,Dead Poets Society,https://a.ltrbxd.com/resized/film-poster/5/1/8/4/6/51846-dead-poets-society-0-230-0-345-crop.jpg?v=9273e8acf7,"Underdogs and coming of age,Student coming-of-age challenges,Teen school antics and laughter,Emotional and touching family dramas,Teen relationships and coming-of-age,Teen friendship and coming-of-age",207,dead-poets-society,1989
Pete Docter,"Family,Drama,Comedy,Animation,Fantasy","[1498, 5288, 3509, 23647, 23769, 127527, 137113, 334845, 145966, 212290]",tt2948372,101,Soul,https://a.ltrbxd.com/resized/film-poster/4/3/8/5/1/1/438511-soul-0-230-0-345-crop.jpg?v=8d0b74f9a8,"Humanity and the world around us,Heartwarming Christmas and holiday joy,Adorable animals and heartwarming families,Fairy-tale fantasy and enchanted magic,Emotional and captivating fantasy storytelling,Kids' animated fun and adventure",508442,soul-2020,2020
Baz Luhrmann,"Music,History,Drama","[4805, 10690, 10390, 36781, 44649, 117258, 118903, 139812, 40475, 53116]",tt3704428,159,Elvis,https://a.ltrbxd.com/resized/film-poster/5/4/2/0/3/2/542032-elvis-0-230-0-345-crop.jpg?v=c8e56b86bc,"Song and dance,Humanity and the world around us,Emotional life of renowned artists,Legendary musicians and stardom,Musicals with dazzling vocal performances,Dance rhythms and catchy tunes",614934,elvis-2022,2022
Luc Besson,"Action,Drama,Crime","[2562, 3940, 2808, 11194, 13067, 55612, 80805, 207357, 100608, 142609]",tt0110413,111,Léon: The Professional,https://a.ltrbxd.com/resized/sm/upload/6x/vq/25/fy/gE8S02QUOhVnAmYu4tcrBlMTujz-0-230-0-345-crop.jpg?v=f72423fa1f,"Crime, drugs and gangsters,High speed and special ops,Thrillers and murder mysteries,Guns,  crime,  and violent action,Ruthless gangsters and gritty crime,Drugs and violent crime,Heists and thrilling action,Explosive and action-packed heroes vs. villains",101,leon-the-professional,1994
George Lucas,"Adventure,Action,Science Fiction","[1409, 3531, 1725, 12569, 13176, 94434, 107699, 338283, 159478, 337592]",tt0076759,121,Star Wars,https://a.ltrbxd.com/resized/film-poster/2/7/0/6/2706-star-wars-0-230-0-345-crop.jpg?v=f1f1271bf5,"Monsters, aliens, sci-fi and the apocalypse,Epic heroes,Imaginative space odysseys and alien encounters,Action-packed space and alien sagas,Fantasy adventure,  heroism,  and swordplay,Thought-provoking sci-fi action and future technology,Dinosaurs and sci-fi monster adventures",11,star-wars,1977
Hayao Miyazaki,"Fantasy,Adventure,Animation","[384, 902, 737, 4490, 5657, 31989, 48208, 152306, 110010, 218677]",tt0119698,134,Princess Mononoke,https://a.ltrbxd.com/resized/sm/upload/fu/5h/fp/mj/mNqZOtJIQfFQPjo3hmYLIn8Qqhf-0-230-0-345-crop.jpg?v=aae03975f7,"Epic heroes,Epic history and literature,Martial arts and intense combat,Historical battles and epic heroism,Dinosaurs and sci-fi monster adventures,Emotional and captivating fantasy storytelling,Fantasy adventure,  heroism,  and swordplay",128,princess-mononoke,1997
Joel Coen,"Drama,Crime,Comedy,Thriller","[533, 1392, 1013, 5769, 6979, 38955, 63348, 188437, 110058, 152297]",tt0116282,98,Fargo,https://a.ltrbxd.com/resized/film-poster/5/1/7/8/1/51781-fargo-0-230-0-345-crop.jpg?v=44835e3b35,"Thrillers and murder mysteries,Crime, drugs and gangsters,Crude humor and satire,Heists and thrilling action,Film-noir and dark crime dramas,Suspenseful crime thrillers,Gags,  jokes,  and slapstick humor,Intriguing and suspenseful murder mysteries",275,fargo,1996
Spike Lee,"Comedy,Crime,Drama","[784, 2072, 1734, 9681, 13545, 71198, 108530, 239492, 86759, 95776]",tt7349662,136,BlacKkKlansman,https://a.ltrbxd.com/resized/film-poster/4/1/8/1/3/5/418135-blackkklansman-0-230-0-345-crop.jpg?v=632af7bfd9,"Politics and human rights,Politics,  propaganda,  and political documentaries,Riveting presidential and political drama,Racism and the powerful fight for justice,The Nazis and World War II,Witty satire and amusing jokes",487558,blackkklansman,2018
Joe Johnston,"Science Fiction,Action,Adventure","[4598, 14406, 11642, 56660, 68176, 223084, 160880, 168086, 29472, 55219]",tt0458339,124,Captain America: The First Avenger,https://a.ltrbxd.com/resized/film-poster/5/0/8/0/9/50809-captain-america-the-first-avenger-0-230-0-345-crop.jpg?v=5a0d520040,"War and historical adventure,Epic heroes,High speed and special ops,Bravery in World War II,Explosive and action-packed heroes vs. villains,Superheroes in action-packed battles with villains,The Nazis and World War II,Military combat and heroic soldiers",1771,captain-america-the-first-avenger,2011
David Yates,"Fantasy,Adventure","[2387, 6237, 4915, 28414, 36928, 156168, 146060, 205449, 49481, 113634]",tt0373889,138,Harry Potter and the Order of the Phoenix,https://a.ltrbxd.com/resized/sm/upload/wd/w4/n0/yj/g6n8G0xPnBVUIKKK41sNmbZB5h4-0-230-0-345-crop.jpg?v=57af08b652,"Epic heroes,Epic history and literature,Fantasy adventure,  heroism,  and swordplay,Student coming-of-age challenges,Fairy-tale fantasy and enchanted magic,Shakespearean drama and captivating vision,Martial arts and intense combat",675,harry-potter-and-the-order-of-the-phoenix,2007
Joel Coen,"Comedy,Crime","[1320, 3608, 2426, 12007, 12452, 56073, 74404, 185900, 101897, 168728]",tt0118715,117,The Big Lebowski,https://a.ltrbxd.com/resized/film-poster/5/1/9/3/5/51935-the-big-lebowski-0-230-0-345-crop.jpg?v=5cd64defcf,"Crude humor and satire,Relationship comedy,Funny jokes and crude humor,Gags,  jokes,  and slapstick humor,Witty satire and amusing jokes,Hilarious comedy with catchy tunes,Western frontier dramas with a touch of humor",115,the-big-lebowski,1998
Edgar Wright,"Horror,Thriller,Mystery","[2224, 6880, 8606, 32792, 43524, 102390, 110187, 125622, 39034, 44514]",tt9639470,117,Last Night in Soho,https://a.ltrbxd.com/resized/film-poster/5/0/5/0/0/0/505000-last-night-in-soho-0-230-0-345-crop.jpg?v=0b5403ef97,"Horror, the undead and monster classics,Thrillers and murder mysteries,Intense violence and sexual transgression,Gothic and eerie haunting horror,Terrifying,  haunted,  and supernatural horror,Gory,  gruesome,  and slasher horror,Creepy,  chilling,  and terrifying horror,Twisted dark psychological thriller",576845,last-night-in-soho,2021
