director,genres,histogram,imdb_id,length,name,poster_url,themes,tmdb_id,url_name,year
Jordan Peele,"Thriller,Horror,Mystery","[2077, 5692, 3423, 21773, 20581, 139148, 164712, 565162, 274203, 544466]",tt5052448,104,Get Out,https://a.ltrbxd.com/resized/film-poster/3/5/3/1/1/7/353117-get-out-0-230-0-345-crop.jpg?v=136acec030,"Horror, the undead and monster classics,Intense violence and sexual transgression,Terrifying,  haunted,  and supernatural horror,Zombie carnage and survival horror,Gory,  gruesome,  and slasher horror,Spooky,  scary comedy,Creepy,  chilling,  and terrifying horror",419430,get-out-2017,2017
Ari Aster,"Drama,Horror,Mystery","[10525, 23317, 11968, 59502, 49213, 212217, 209522, 498961, 176539, 322162]",tt8772262,147,Midsommar,https://a.ltrbxd.com/resized/film-poster/4/5/9/5/6/4/459564-midsommar-0-230-0-345-crop.jpg?v=ed7b8ded1f,"Horror, the undead and monster classics,Intense violence and sexual transgression,Gothic and eerie haunting horror,Terrifying,  haunted,  and supernatural horror,Gory,  gruesome,  and slasher horror,Cannibalism and extreme gory horror,Brutal revenge and graphic violence",530385,midsommar,2019
Bong Joon-ho,"Comedy,Drama,Thriller","[2043, 4028, 1788, 11210, 9695, 67516, 80795, 429765, 375135, 1213355]",tt6751668,133,Parasite,https://a.ltrbxd.com/resized/film-poster/4/2/6/4/0/6/426406-parasite-0-230-0-345-crop.jpg?v=8f5653f710,"Moving relationship stories,Intense violence and sexual transgression,Tragic sadness and captivating beauty,Heartbreaking and moving family drama,Emotional and touching family dramas,Enduring stories of family and marital drama,Gripping,  intense violent crime",496243,parasite-2019,2019
Quentin Tarantino,"Crime,Thriller","[3562, 8823, 3697, 26082, 18908, 125896, 116959, 445008, 259484, 646110]",tt0110912,154,Pulp Fiction,https://a.ltrbxd.com/resized/film-poster/5/1/4/4/4/51444-pulp-fiction-0-230-0-345-crop.jpg?v=dee19a8077,"Crime, drugs and gangsters,Ruthless gangsters and gritty crime,Guns,  crime,  and violent action,Heists and thrilling action,Brutal,  violent prison drama,Brutal revenge and graphic violence",680,pulp-fiction,1994
Matt Reeves,"Mystery,Thriller,Crime","[3773, 11284, 6636, 41692, 38320, 178003, 203229, 535786, 303001, 391488]",tt1877830,177,The Batman,https://a.ltrbxd.com/resized/film-poster/3/4/8/9/1/4/348914-the-batman-0-230-0-345-crop.jpg?v=ec12a8b7ce,"Thrillers and murder mysteries,High speed and special ops,Crime, drugs and gangsters,Epic heroes,Film-noir and dark crime dramas,Explosive and action-packed heroes vs. villains,Superheroes in action-packed battles with villains,Intriguing and suspenseful murder mysteries,Suspenseful crime thrillers",414906,the-batman,2022
Stephen Chbosky,Drama,"[2936, 7572, 5350, 27674, 27907, 126893, 126145, 269490, 105914, 269077]",tt1659337,103,The Perks of Being a Wallflower,https://a.ltrbxd.com/resized/sm/upload/zz/o0/mz/sv/fyYncUQh5gUTvxmQ4bigm2DVCv7-0-230-0-345-crop.jpg?v=1188bcf4af,"Underdogs and coming of age,Moving relationship stories,Student coming-of-age challenges,Teen school antics and laughter,Teen relationships and coming-of-age,Emotional LGBTQ relationships,Teen friendship and coming-of-age",84892,the-perks-of-being-a-wallflower,2012
James Gunn,"Science Fiction,Action,Adventure","[1568, 3212, 2915, 12826, 19083, 71270, 117712, 270810, 167835, 191869]",tt6791350,150,Guardians of the Galaxy Vol. 3,https://a.ltrbxd.com/resized/film-poster/3/7/9/7/1/1/379711-guardians-of-the-galaxy-volume-3-0-230-0-345-crop.jpg?v=bd023e472c,"Epic heroes,Monsters, aliens, sci-fi and the apocalypse,Action-packed space and alien sagas,Superheroes in action-packed battles with villains,Fantasy adventure,  heroism,  and swordplay,Adorable animals and heartwarming families,Action comedy and silly heroics",447365,guardians-of-the-galaxy-vol-3,2023
James Cameron,"Science Fiction,Action,Adventure","[5770, 12364, 10226, 41085, 48478, 146371, 164709, 267601, 108157, 139532]",tt1630029,192,Avatar: The Way of Water,https://a.ltrbxd.com/resized/film-poster/6/3/0/5/8/63058-avatar-the-way-of-water-0-230-0-345-crop.jpg?v=37a1014065,"Monsters, aliens, sci-fi and the apocalypse,Epic heroes,War and historical adventure,Humanity's odyssey: earth and beyond,Dinosaurs and sci-fi monster adventures,Imaginative space odysseys and alien encounters,Epic adventure and breathtaking battles,Action-packed space and alien sagas",76600,avatar-the-way-of-water,2022
Taika Waititi,"Adventure,Action,Science Fiction","[4598, 11904, 7981, 39339, 39969, 173850, 184063, 377263, 128093, 203471]",tt3501632,131,Thor: Ragnarok,https://a.ltrbxd.com/resized/film-poster/2/0/9/3/8/2/209382-thor-ragnarok-0-230-0-345-crop.jpg?v=0369e00db5,"Epic heroes,Crude humor and satire,Action comedy and silly heroics,Fantasy adventure,  heroism,  and swordplay,Action-packed space and alien sagas,Superheroes in action-packed battles with villains,Martial arts and intense combat",284053,thor-ragnarok,2017
Rian Johnson,"Comedy,Mystery,Crime","[2158, 7593, 4314, 32369, 31508, 201473, 225275, 655995, 274249, 410147]",tt8946378,131,Knives Out,https://a.ltrbxd.com/resized/film-poster/4/7/5/3/7/0/475370-knives-out-0-230-0-345-crop.jpg?v=7da76d742c,"Thrillers and murder mysteries,Intriguing and suspenseful murder mysteries,Suspenseful crime thrillers,Spooky,  scary comedy,Film-noir and dark crime dramas,Gags,  jokes,  and slapstick humor",546554,knives-out-2019,2019
Edward Berger,"War,Drama","[1106, 1424, 1488, 7219, 11431, 43203, 73031, 164258, 79428, 64264]",tt1016150,147,All Quiet on the Western Front,https://a.ltrbxd.com/resized/film-poster/1/6/5/3/0/16530-all-quiet-on-the-western-front-0-230-0-345-crop.jpg?v=bff4d496a1,"War and historical adventure,Epic history and literature,Military combat and heroic soldiers,Bravery in World War II,The Nazis and World War II,Historical battles and epic heroism,Politics,  propaganda,  and political documentaries",49046,all-quiet-on-the-western-front-2022,2022
Louis Leterrier,"Adventure,Science Fiction,Action","[11049, 29411, 28598, 83276, 69160, 99551, 36338, 22965, 2559, 6022]",tt0800080,114,The Incredible Hulk,https://a.ltrbxd.com/resized/film-poster/5/0/8/2/7/50827-the-incredible-hulk-0-230-0-345-crop.jpg?v=f03c15122c,"Epic heroes,Monsters, aliens, sci-fi and the apocalypse,High speed and special ops,Dinosaurs and sci-fi monster adventures,Superheroes in action-packed battles with villains,Martial arts and intense combat,Explosive and action-packed heroes vs. villains,Thought-provoking sci-fi action and future technology",1724,the-incredible-hulk,2008
Gary Ross,"Action,Comedy,Crime","[4221, 9901, 8643, 34407, 38643, 102830, 72900, 85716, 20211, 52573]",tt5164214,111,Ocean's Eight,https://a.ltrbxd.com/resized/film-poster/3/3/7/5/6/7/337567-ocean-s-8-0-230-0-345-crop.jpg?v=58afd2ab77,"Crime, drugs and gangsters,Crude humor and satire,Heists and thrilling action,Gags,  jokes,  and slapstick humor,Fast cars and adrenaline-fueled action,Hilarious comedy with catchy tunes,Engaging casino gambling drama",402900,oceans-eight,2018
James Cameron,"Action,Science Fiction,Thriller","[465, 1569, 1214, 8130, 10513, 60352, 79372, 152091, 50318, 59003]",tt0088247,108,The Terminator,https://a.ltrbxd.com/resized/sm/upload/g2/2g/f0/6b/the-terminator-original-0-230-0-345-crop.jpg?v=677a47d94a,"Monsters, aliens, sci-fi and the apocalypse,Thought-provoking sci-fi action and future technology,Imaginative space odysseys and alien encounters,Action-packed space and alien sagas,Explosive and action-packed heroes vs. villains,Sci-fi horror aliens and creatures",218,the-terminator,1984
Christopher Nolan,"Science Fiction,Drama,Adventure","[3399, 8389, 4448, 29026, 23712, 124832, 123963, 390781, 261228, 789255]",tt0816692,169,Interstellar,https://a.ltrbxd.com/resized/film-poster/1/1/7/6/2/1/117621-interstellar-0-230-0-345-crop.jpg?v=7ad89e6666,"Monsters, aliens, sci-fi and the apocalypse,Imaginative space odysseys and alien encounters,Action-packed space and alien sagas,Humanity's odyssey: earth and beyond,Thought-provoking sci-fi action and future technology,The apocalypse and dangerous technology",157336,interstellar,2014
Emile Ardolino,"Music,Romance,Drama","[1087, 3118, 2713, 12934, 14970, 55074, 49429, 68686, 18317, 48366]",tt0092890,100,Dirty Dancing,https://a.ltrbxd.com/resized/film-poster/5/1/9/6/2/51962-dirty-dancing-0-230-0-345-crop.jpg?v=62e57df498,"Song and dance,Underdogs and coming of age,Dance rhythms and catchy tunes,Musicals with dazzling vocal performances,Hilarious comedy with catchy tunes,Teen school antics and laughter,Teen friendship and coming-of-age",88,dirty-dancing,1987
Emma Seligman,"Comedy,Drama","[586, 1291, 1248, 5218, 7420, 32457, 56890, 110093, 44219, 36203]",tt11317142,78,Shiva Baby,https://a.ltrbxd.com/resized/film-poster/5/8/9/0/9/3/589093-shiva-baby-0-230-0-345-crop.jpg?v=a258215f88,"Relationship comedy,Crude humor and satire,Quirky and endearing relationships,Funny jokes and crude humor,Laugh-out-loud relationship entanglements,Teen school antics and laughter,Emotional LGBTQ relationships",664300,shiva-baby-2020,2020
Mike Nichols,"Romance,Comedy,Drama","[434, 1140, 906, 4563, 5114, 23874, 32894, 79898, 44917, 52913]",tt0061722,106,The Graduate,https://a.ltrbxd.com/resized/sm/upload/64/us/cm/83/AuFvrbtWSPiBPIv9ewH2DV4nhCD-0-230-0-345-crop.jpg?v=4fee371b0d,"Relationship comedy,Moving relationship stories,Underdogs and coming of age,Song and dance,Teen school antics and laughter,Erotic relationships and desire,Quirky and endearing relationships,Charming romances and delightful chemistry,Passion and romance",37247,the-graduate,1967
Ivan Reitman,"Fantasy,Comedy","[764, 2696, 2331, 12947, 15867, 76472, 80256, 138696, 39268, 67501]",tt0087332,107,Ghostbusters,https://a.ltrbxd.com/resized/film-poster/6/1/6/6/6166-ghostbusters-0-230-0-345-crop.jpg?v=02587ca19f,"Crude humor and satire,Spooky,  scary comedy,Hilarious comedy with catchy tunes,Action comedy and silly heroics,Kids' animated fun and adventure,Funny jokes and crude humor",620,ghostbusters,1984
David Gordon Green,"Thriller,Horror","[2036, 5678, 5727, 21015, 25623, 71666, 60209, 62261, 12506, 15792]",tt1502407,106,Halloween,https://a.ltrbxd.com/resized/film-poster/3/5/7/6/8/2/357682-halloween-0-230-0-345-crop.jpg?v=6ccefef144,"Horror, the undead and monster classics,Intense violence and sexual transgression,Gory,  gruesome,  and slasher horror,Terrifying,  haunted,  and supernatural horror,Gothic and eerie haunting horror,Chilling experiments and classic monster horror,Zombie carnage and survival horror",424139,halloween-2018,2018
Neill Blomkamp,Science Fiction,"[1076, 2614, 2123, 9174, 10928, 42752, 60180, 101715, 35767, 27989]",tt1136608,112,District 9,https://a.ltrbxd.com/resized/film-poster/4/0/8/6/0/40860-district-9-0-230-0-345-crop.jpg?v=5fb9b8c5a9,"Monsters, aliens, sci-fi and the apocalypse,Imaginative space odysseys and alien encounters,Action-packed space and alien sagas,Thought-provoking sci-fi action and future technology,Sci-fi horror aliens and creatures,The apocalypse and dangerous technology",17654,district-9,2009
Thomas Kail,"History,Drama","[3515, 3662, 1833, 5793, 5484, 18572, 20497, 58858, 36347, 89933]",tt8503618,160,Hamilton,https://a.ltrbxd.com/resized/film-poster/4/8/5/3/0/9/485309-hamilton-0-230-0-345-crop.jpg?v=6430888d58,"Song and dance,Epic history and literature,Musicals with dazzling vocal performances,Dance rhythms and catchy tunes,Legendary musicians and stardom,Hilarious comedy with catchy tunes,Emotional life of renowned artists",556574,hamilton-2020,2020
Chris Miller,"Family,Adventure,Animation,Fantasy,Comedy","[7403, 18473, 18383, 57036, 50960, 90323, 33595, 33105, 5475, 22624]",tt0413267,93,Shrek the Third,https://a.ltrbxd.com/resized/sm/upload/qn/3n/0d/bn/lA17Mlz8hXVZsW5Y3WuUa8KPilQ-0-230-0-345-crop.jpg?v=43af34f51b,"Crude humor and satire,Kids' animated fun and adventure,Fairy-tale fantasy and enchanted magic,Heartwarming Christmas and holiday joy,Fantasy adventure,  heroism,  and swordplay,Adorable animals and heartwarming families",810,shrek-the-third,2007
Paul Feig,"Romance,Comedy","[2283, 5321, 4325, 17404, 18575, 60481, 54910, 73437, 18174, 31110]",tt1478338,125,Bridesmaids,https://a.ltrbxd.com/resized/film-poster/1/0/4/4/2/10442-bridesmaids-0-230-0-345-crop.jpg?v=da67bea0aa,"Relationship comedy,Crude humor and satire,Laugh-out-loud relationship entanglements,Funny jokes and crude humor,Hilarious comedy with catchy tunes,Gags,  jokes,  and slapstick humor,Witty satire and amusing jokes",55721,bridesmaids,2011
Martin Scorsese,"Comedy,Drama","[117, 264, 244, 1283, 2046, 11387, 25179, 73156, 49835, 37145]",tt0085794,109,The King of Comedy,https://a.ltrbxd.com/resized/sm/upload/4g/y9/qr/q9/pbAqLKoLydP7jl6P0vmYwlDtRPD-0-230-0-345-crop.jpg?v=8eb030b5f7,"Crude humor and satire,Relationship comedy,Funny jokes and crude humor,Dreamlike,  quirky,  and surreal storytelling,Fascinating,  emotional stories and documentaries,Gags,  jokes,  and slapstick humor,Hilarious comedy with catchy tunes",262,the-king-of-comedy,1982
Stephen Sommers,"Fantasy,Action,Adventure","[1012, 3480, 3421, 15589, 19366, 68683, 61621, 69344, 14613, 30124]",tt0120616,124,The Mummy,https://a.ltrbxd.com/resized/sm/upload/5i/du/2g/s8/6CweTLmngcPrsEH4G6RKvdwmQdC-0-230-0-345-crop.jpg?v=397ac4a555,"Epic heroes,Horror, the undead and monster classics,Monsters, aliens, sci-fi and the apocalypse,Creepy,  chilling,  and terrifying horror,Dinosaurs and sci-fi monster adventures,Fantasy adventure,  heroism,  and swordplay,Spooky,  scary comedy,Zombie carnage and survival horror",564,the-mummy-1999,1999
Ridley Scott,"Drama,Action,History","[700, 1496, 1536, 5938, 8734, 29316, 49891, 81201, 25343, 11539]",tt4244994,153,The Last Duel,https://a.ltrbxd.com/resized/film-poster/5/4/4/3/8/0/544380-the-last-duel-0-230-0-345-crop.jpg?v=b3cf1ae7a1,"Epic history and literature,Sumptuous royalty and lavish dramas,Historical battles and epic heroism,Shakespearean drama and captivating vision,Brutal revenge and graphic violence,Fantasy adventure,  heroism,  and swordplay",617653,the-last-duel-2021,2021
Jon Favreau,"Family,Adventure,Drama,Animation","[15133, 22724, 16035, 43718, 38095, 72621, 36360, 42261, 8793, 23047]",tt6105098,118,The Lion King,https://a.ltrbxd.com/resized/film-poster/3/5/4/5/3/9/354539-the-lion-king-0-230-0-345-crop.jpg?v=e347ae4e13,"Song and dance,Adorable animals and heartwarming families,Fairy-tale fantasy and enchanted magic,Musicals with dazzling vocal performances,Heartwarming Christmas and holiday joy,Kids' animated fun and adventure",420818,the-lion-king-2019,2019
Quentin Tarantino,"Thriller,Action","[1205, 2848, 2921, 11985, 15611, 48515, 52376, 58205, 18567, 20154]",tt1028528,113,Death Proof,https://a.ltrbxd.com/resized/film-poster/5/0/6/2/1/50621-death-proof-0-230-0-345-crop.jpg?v=e95daf344f,"Horror, the undead and monster classics,High speed and special ops,Fast cars and adrenaline-fueled action,Cannibalism and extreme gory horror,Gory,  gruesome,  and slasher horror,Action comedy and silly heroics,Guns,  crime,  and violent action",1991,death-proof,2007
Matt Ross,"Drama,Adventure","[711, 1439, 1291, 4920, 7247, 27591, 44439, 84090, 32638, 41887]",tt3553976,118,Captain Fantastic,https://a.ltrbxd.com/resized/sm/upload/5d/hg/f9/my/fnaGmGCWgGOQjCpM0TqKPZJ5x85-0-230-0-345-crop.jpg?v=f4a9ad9d7a,"Faith and religion,Moving relationship stories,Emotional and touching family dramas,Sins,  forgiveness,  and challenging faith,Humanity's odyssey: earth and beyond,Heartbreaking and moving family drama,Heartwarming Christmas and holiday joy",334533,captain-fantastic,2016
Hideaki Anno,"Drama,Animation,Science Fiction,Action","[827, 963, 675, 2231, 2524, 9438, 13478, 42177, 36651, 104756]",tt0169858,87,Neon Genesis Evangelion: The End of Evangelion,https://a.ltrbxd.com/resized/film-poster/4/0/3/1/1/40311-neon-genesis-evangelion-the-end-of-evangelion-0-230-0-345-crop.jpg?v=3f8b0ad85b,"Monsters, aliens, sci-fi and the apocalypse,Faith and religion,Surreal and thought-provoking visions of life and death,Thought-provoking sci-fi action and future technology,Imaginative space odysseys and alien encounters,Emotional and captivating fantasy storytelling,Faith and spiritual journeys",18491,neon-genesis-evangelion-the-end-of-evangelion,1997
Kenneth Branagh,"Crime,Drama,Mystery","[2038, 6468, 7621, 30454, 40820, 88937, 52532, 40789, 7613, 11316]",tt3402236,114,Murder on the Orient Express,https://a.ltrbxd.com/resized/sm/upload/x3/oo/kp/41/iBlfxlw8qwtUS0R8YjIU7JtM6LM-0-230-0-345-crop.jpg?v=3e7799436b,"Thrillers and murder mysteries,Intriguing and suspenseful murder mysteries,Suspenseful crime thrillers,Film-noir and dark crime dramas,Exciting spy thrillers with tense intrigue,Heists and thrilling action",392044,murder-on-the-orient-express-2017,2017
Billy Wilder,Drama,"[92, 237, 222, 1167, 1600, 8138, 14061, 45089, 37726, 63607]",tt0043014,110,Sunset Boulevard,https://a.ltrbxd.com/resized/film-poster/5/1/5/2/2/51522-sunset-boulevard-0-230-0-345-crop.jpg?v=75e49b76e3,"Thrillers and murder mysteries,Humanity and the world around us,Film-noir and dark crime dramas,Emotional life of renowned artists,Spooky,  scary comedy,Gothic and eerie haunting horror,Charming romances and delightful chemistry",599,sunset-boulevard,1950
Rawson Marshall Thurber,"Crime,Comedy","[2074, 5836, 6438, 25442, 32344, 88595, 67638, 61401, 11700, 20388]",tt1723121,110,We're the Millers,https://a.ltrbxd.com/resized/sm/upload/gy/z2/o8/vq/pyrv46Lr3rOIcSg1PkkCwktCC3G-0-230-0-345-crop.jpg?v=a294641de8,"Crude humor and satire,Relationship comedy,Underdogs and coming of age,Funny jokes and crude humor,Gags,  jokes,  and slapstick humor,Teen school antics and laughter,Laugh-out-loud relationship entanglements,Hilarious comedy with catchy tunes",138832,were-the-millers,2013
Ben Stiller,"War,Adventure,Comedy,Action","[2019, 4469, 3672, 14439, 16979, 58868, 69090, 84646, 23198, 23119]",tt0942385,107,Tropic Thunder,https://a.ltrbxd.com/resized/film-poster/4/8/0/3/0/48030-tropic-thunder-0-230-0-345-crop.jpg?v=f75fe170e6,"Crude humor and satire,Funny jokes and crude humor,Witty satire and amusing jokes,Western frontier dramas with a touch of humor,Action comedy and silly heroics,Gags,  jokes,  and slapstick humor",7446,tropic-thunder,2008
Raja Gosnell,"Mystery,Comedy,Adventure","[3111, 9920, 9721, 29653, 28670, 66820, 39514, 48383, 10545, 46141]",tt0267913,88,Scooby-Doo,https://a.ltrbxd.com/resized/sm/upload/35/mj/25/xd/yn1dLaEcvUHIgxmAu6NY5ho6CnJ-0-230-0-345-crop.jpg?v=6f5430d5c9,"Crude humor and satire,Kids' animated fun and adventure,Action comedy and silly heroics,Heartwarming Christmas and holiday joy,Adorable animals and heartwarming families,Spooky,  scary comedy",9637,scooby-doo,2002
M. Night Shyamalan,"Drama,Science Fiction,Thriller","[3931, 10722, 11047, 36563, 38635, 77378, 45353, 38284, 7525, 11555]",tt6823368,129,Glass,https://a.ltrbxd.com/resized/film-poster/3/8/2/6/6/9/382669-glass-0-230-0-345-crop.jpg?v=23c456ff6d,"High speed and special ops,Epic heroes,Monsters, aliens, sci-fi and the apocalypse,Intense violence and sexual transgression,Thought-provoking sci-fi action and future technology,Superheroes in action-packed battles with villains,Explosive and action-packed heroes vs. villains,Twisted dark psychological thriller,Suspenseful crime thrillers",450465,glass-2019,2019
Judd Apatow,"Comedy,Romance","[2098, 5540, 4980, 21254, 26488, 83950, 71684, 69223, 13642, 15356]",tt0405422,116,The 40 Year Old Virgin,https://a.ltrbxd.com/resized/film-poster/4/8/1/6/0/48160-the-40-year-old-virgin-0-230-0-345-crop.jpg?v=3f5be0e907,"Relationship comedy,Crude humor and satire,Underdogs and coming of age,Funny jokes and crude humor,Laugh-out-loud relationship entanglements,Teen school antics and laughter,Hilarious comedy with catchy tunes,Gags,  jokes,  and slapstick humor",6957,the-40-year-old-virgin,2005
Hirokazu Kore-eda,"Crime,Drama,Thriller","[90, 217, 226, 1088, 1926, 9526, 19970, 60822, 43558, 37039]",tt8075192,120,Shoplifters,https://a.ltrbxd.com/resized/film-poster/4/3/5/1/2/9/435129-shoplifters-0-230-0-345-crop.jpg?v=f4c3e34d37,"Moving relationship stories,Heartbreaking and moving family drama,Emotional and touching family dramas,Tragic sadness and captivating beauty,Adorable animals and heartwarming families,Touching and sad family stories",505192,shoplifters,2018
Rupert Wyatt,"Science Fiction,Action,Drama,Thriller","[808, 2551, 1974, 11033, 14472, 66197, 81815, 102810, 21384, 19735]",tt1318514,105,Rise of the Planet of the Apes,https://a.ltrbxd.com/resized/film-poster/4/9/4/8/4948-rise-of-the-planet-of-the-apes-0-230-0-345-crop.jpg?v=2185768098,"Monsters, aliens, sci-fi and the apocalypse,Epic heroes,Imaginative space odysseys and alien encounters,Dinosaurs and sci-fi monster adventures,The apocalypse and dangerous technology,Thought-provoking sci-fi action and future technology,Humanity's odyssey: earth and beyond",61791,rise-of-the-planet-of-the-apes,2011
Rian Johnson,"Science Fiction,Action,Thriller","[857, 2762, 2830, 13405, 17211, 62339, 73147, 87269, 23073, 14460]",tt1276104,118,Looper,https://a.ltrbxd.com/resized/sm/upload/qp/zb/lh/ec/yZ7e9bmLURRe89No7ei6eZQO1qZ-0-230-0-345-crop.jpg?v=b145ef432f,"Monsters, aliens, sci-fi and the apocalypse,Crime, drugs and gangsters,High speed and special ops,Thought-provoking sci-fi action and future technology,Explosive and action-packed heroes vs. villains,Guns,  crime,  and violent action,Ruthless gangsters and gritty crime,Imaginative space odysseys and alien encounters",59967,looper,2012
Luc Besson,"Science Fiction,Action","[9271, 20092, 17982, 52127, 47119, 85588, 43544, 38518, 7625, 16885]",tt2872732,89,Lucy,https://a.ltrbxd.com/resized/film-poster/1/6/8/8/6/0/168860-lucy-0-230-0-345-crop.jpg?v=768578ef62,"Monsters, aliens, sci-fi and the apocalypse,Epic heroes,High speed and special ops,Imaginative space odysseys and alien encounters,Thought-provoking sci-fi action and future technology,Martial arts and intense combat,Humanity's odyssey: earth and beyond,Explosive and action-packed heroes vs. villains",240832,lucy-2014,2014
David Yates,"Adventure,Fantasy,Family","[10171, 23001, 23738, 57219, 50741, 77138, 36077, 32001, 5326, 12615]",tt4123430,134,Fantastic Beasts: The Crimes of Grindelwald,https://a.ltrbxd.com/resized/film-poster/2/6/8/3/6/5/268365-fantastic-beasts-the-crimes-of-grindelwald-0-230-0-345-crop.jpg?v=3c5528fd13,"Epic heroes,Epic history and literature,Fantasy adventure,  heroism,  and swordplay,Fairy-tale fantasy and enchanted magic,Shakespearean drama and captivating vision,Superheroes in action-packed battles with villains,Sumptuous royalty and lavish dramas",338952,fantastic-beasts-the-crimes-of-grindelwald,2018
Anthony Russo,"Action,Thriller","[3594, 10998, 14143, 40958, 47280, 72632, 37930, 26968, 4762, 7860]",tt1649418,128,The Gray Man,https://a.ltrbxd.com/resized/film-poster/6/4/7/7/6/0/647760-the-gray-man-0-230-0-345-crop.jpg?v=85006270c0,"High speed and special ops,Epic heroes,Explosive and action-packed heroes vs. villains,Martial arts and intense combat,Action comedy and silly heroics,Fast cars and adrenaline-fueled action,Exciting spy thrillers with tense intrigue",725201,the-gray-man-2022,2022
Hayao Miyazaki,"Romance,Fantasy,Animation,Family,Action,Adventure","[140, 439, 392, 2554, 4290, 23850, 38229, 80106, 33458, 43788]",tt0092067,125,Castle in the Sky,https://a.ltrbxd.com/resized/film-poster/4/6/1/5/7/46157-castle-in-the-sky-0-230-0-345-crop.jpg?v=b1924d4dcd,"Epic heroes,Fairy-tale fantasy and enchanted magic,Emotional and captivating fantasy storytelling,Fantasy adventure,  heroism,  and swordplay,Dinosaurs and sci-fi monster adventures,Kids' animated fun and adventure",10515,castle-in-the-sky,1986
Tom Hooper,"Drama,History","[2210, 5616, 4579, 16719, 16812, 48310, 45243, 64679, 21388, 36107]",tt1707386,158,Les Misérables,https://a.ltrbxd.com/resized/film-poster/6/9/1/4/9/69149-les-miserables-0-230-0-345-crop.jpg?v=d55a55a672,"Song and dance,Musicals with dazzling vocal performances,Emotional life of renowned artists,Legendary musicians and stardom,Hilarious comedy with catchy tunes,Sumptuous royalty and lavish dramas",82695,les-miserables-2012,2012
Lars von Trier,"Thriller,Horror,Crime,Drama","[2210, 3875, 3048, 9149, 10478, 27501, 32980, 51938, 21897, 21866]",tt4003440,151,The House That Jack Built,https://a.ltrbxd.com/resized/film-poster/3/3/2/4/3/2/332432-the-house-that-jack-built-0-230-0-345-crop.jpg?v=874acb1dbc,"Intense violence and sexual transgression,Horror, the undead and monster classics,Thrillers and murder mysteries,Brutal revenge and graphic violence,Gory,  gruesome,  and slasher horror,Gothic and eerie haunting horror,Challenging or sexual themes & twists,Cannibalism and extreme gory horror",398173,the-house-that-jack-built-2018,2018
Bryan Singer,"Fantasy,Science Fiction,Adventure,Action","[7261, 22375, 23223, 67658, 58534, 85514, 37720, 28301, 4404, 9213]",tt3385516,144,X-Men: Apocalypse,https://a.ltrbxd.com/resized/film-poster/1/7/2/4/9/2/172492-x-men-apocalypse-0-230-0-345-crop.jpg?v=eecf0062df,"Monsters, aliens, sci-fi and the apocalypse,Epic heroes,Thought-provoking sci-fi action and future technology,Superheroes in action-packed battles with villains,The apocalypse and dangerous technology,Imaginative space odysseys and alien encounters,Explosive and action-packed heroes vs. villains",246655,x-men-apocalypse,2016
Ethan Coen,"Drama,Comedy","[857, 2418, 2091, 10147, 13548, 48153, 64782, 76698, 20782, 14298]",tt0887883,96,Burn After Reading,https://a.ltrbxd.com/resized/film-poster/4/9/0/5/4/49054-burn-after-reading-0-230-0-345-crop.jpg?v=1a29d1c090,"Crude humor and satire,Relationship comedy,Gags,  jokes,  and slapstick humor,Funny jokes and crude humor,Action comedy and silly heroics,Laugh-out-loud relationship entanglements,Witty satire and amusing jokes",4944,burn-after-reading,2008
Christopher McQuarrie,"Adventure,Action","[385, 1251, 1181, 6598, 10537, 49290, 71134, 100582, 30781, 17180]",tt2381249,131,Mission: Impossible – Rogue Nation,https://a.ltrbxd.com/resized/sm/upload/lk/jb/17/6y/oUDKymEL932AeHyl4A4ee8zuBLF-0-230-0-345-crop.jpg?v=e415a0cdd0,"High speed and special ops,Epic heroes,Explosive and action-packed heroes vs. villains,Fast cars and adrenaline-fueled action,Exciting spy thrillers with tense intrigue,Action comedy and silly heroics,Martial arts and intense combat",177677,mission-impossible-rogue-nation,2015
J Blakeson,"Crime,Comedy,Thriller,Drama","[4007, 7857, 7126, 23983, 27910, 67331, 51848, 46828, 9017, 12542]",tt9893250,119,I Care a Lot,https://a.ltrbxd.com/resized/film-poster/5/2/9/2/0/3/529203-i-care-a-lot-0-230-0-345-crop.jpg?v=56598113a5,"Crime, drugs and gangsters,High speed and special ops,Ruthless gangsters and gritty crime,Heists and thrilling action,Brutal,  violent prison drama,Guns,  crime,  and violent action,War,  patriotism,  and political drama",601666,i-care-a-lot,2020
Stanley Kubrick,"Romance,Drama,War","[258, 574, 450, 2123, 2457, 9911, 14405, 38903, 34070, 59847]",tt0072684,185,Barry Lyndon,https://a.ltrbxd.com/resized/sm/upload/0f/r6/bn/w7/x2JQCgLjieWOwvImeGtLmuNgsrq-0-230-0-345-crop.jpg?v=9c250ee969,"Epic history and literature,War and historical adventure,Sumptuous royalty and lavish dramas,Historical battles and epic heroism,Shakespearean drama and captivating vision,Passion and romance,The Nazis and World War II",3175,barry-lyndon,1975
